<#49F43A>Universal:</>
Grab			^LP_+^LK
Reversal Art		^HP_+^HK
_!Kai's Revenge		^HP_+^HK
Guard Rush <#F7F95D>(1/2 Bar)</>		input ^2P or ^2K while in block stun
EX Moves <#F7F95D>(1 Bar)</>		input ^2P or ^2K during a special
Combo Breaker <#F7F95D>(2 Bars)</>		L_+O while in a combo

<#d576dc>Passive Ability: [The Grandmaster]</>
Re Van is capable of chaining heavies or reverse beat once 
per combo. Re Van also can smoothly chain his crouching 
and standing normals

<#2ed8ea>Command Normals & Strings:</>

Stampede Knee			(While Dashing) ^HK
_!Crush Dart			_F^HK

<#f0f000>Special Moves:</>

Posture Shift (EX OK)						_QCB ^K
_!Zip Jab				^LP
   _!Swift Knuckle			^LP
   _!Dash Straight			^HP
   _!Low Lash			^LK
   _!Splitting Axe			^HK
_!Rapid Rush				^HP
   _!Rear Elbow			^P
   _!Steezy Sweep			^K
_!Swing Boot			^LK
_!Ducking Duster			^HK
_!Mountain Fist			OH
Cancel				_D_D

Crashing Wave (EX OK)			_QCF^K
Requesting Kai                               		_QCB^P & _QCF^P
Waning Crescent (EX OK)		_D_D^K

<#e32d1b>Hyper Arts:</>

DEADLY DUO COMBINATION <#F7F95D>(2 Bars)</>		_QCF_QCF ^P
CUT YOU TO RIBBONS <#F7F95D>(3 Bars)</>			_QCB_QCB ^K
