<#49F43A>Universal:</>
Grab			^LP_+^LK
Reversal Art		^HP_+^HK
Guard Rush <#F7F95D>(1/2 Bar)</>		input ^2P or ^2K while in block stun
EX Moves <#F7F95D>(1 Bar)</>		input ^2P or ^2K during a special
Combo Breaker <#F7F95D>(2 Bars)</>		L_+O while in a combo

<#d576dc>Passive Ability: [Spoof]</>
S.P.A.R can dash mid air by pressing _F_F or _B_B
This dash becomes enhanced during the 3 bar super.

<#2ed8ea>Command Normals & Strings:</>

Electric Blight			_F^LP

Sit Down		_F^HP ^HP
Stay Put		_F^HP ^HK
I Don't Wanna See You		_B^HP OH
Come Over Here Let's Talk		_B^HP L
The Crusher		L L
Kicking and Screaming			^LK ^HK ^HK
Error/?%#: String Not Found			^LP ^LK ^LP ^HP ^LK ^HK

<#f0f000>Special Moves:</>

Twirling Cuts (EX OK)			_QCF^P
Plasma Discharge (EX OK)                                                 		_DSF^K
You're Not Gonna Like This (EX OK)                                          		_HCB^K
Comin' Through (EX OK)			_QCF^K
_!Training Palm			^LP                                            		                                   		
_!You're Worthless			^HP
_!Dashing Past			^LK
_!Stanky Leg Failure			^HK
_!Die Idiot			L during EX Version
_!Nah Nvm			_B
Hack Off (EX OK)			_QCB^P
_!Swift Slice			^LP                                            		                                   		
_!Big Bonk			^HP
_!Switchero			^LK
_!Doink			^HK
_!Leave Me Alone!			_B during EX version

<#e32d1b>Hyper Arts:</>

EYE SHOT <#F7F95D>(2 Bars)</>                                                		_QCF_QCF^P
CLOCKS TICKING <#F7F95D>(3 Bars)</>                                                    		_QCB_QCB^K
