<#49F43A>Universal:</>
Grab			^LP_+^LK
Reversal Art		^HP_+^HK
_!Pistol Stance		Hold ^P
Guard Rush <#F7F95D>(1/2 Bar)</>		input ^2P or ^2K while in block stun
EX Moves <#F7F95D>(1 Bar)</>		input ^2P or ^2K during a special
Combo Breaker <#F7F95D>(2 Bars)</>		L_+O while in a combo

<#d576dc>Passive Ability: [Loaded Mag]</>
All non EX attacks Yuri perfoms with her pistol take away 
bullets. Yuri gets 6 to start with and must reload these 
bullets with _QCB OH or Reversal Art.

<#2ed8ea>Command Normals & Strings:</>

Shotgun Butt			^SP ^SP
Arms Dealer			^LK ^LK ^SK ^SK
Love is Lost			^LP ^LP ^LP ^LK

<#f0f000>Special Moves:</>

Pump Action Hero (EX OK)                                                    		_QCF^K
Heavy Weaponry (EX OK)			_QCB^K
Quick Draw (EX OK)			_QCF^P
Firing Pose (EX OK)                                            		_QCB^P
_!Cancel			_F _F or _B _B
Reloadin'                                                   		_QCB OH

<#e32d1b>Hyper Arts:</>

OL' RELIABLE <#F7F95D>(2 Bars)</>				_QCF_QCF^K
BRINGIN' OUT THE BIG GUNS! <#F7F95D>(3 Bars)</>		_QCB_QCB^P
